,제목,평점,장르,줄거리
36,이스케이프 룸,7,액션,"거액의 상금이 걸린 방탈출 게임에 초대된 6명의 사람들.성별, 연령, 출신도 모두 다른 이들은 오직 초대장만을 가지고세계 최고의 방탈출 게임 회사 ‘미노스’에 모인다.하지만 초대자는 나타나지 않고, 예고도 없이 시작되는 게임.불태워 죽일 듯이 순식간에 방안의 온도가 상승하고6명의 참가자는 탈출하기 위해 단서를 찾기 시작한다.죽음의 공포 속에서 아슬아슬하게 다음 방으로 넘어간 참가자들은오븐 룸, 아이스 룸, 업사이드다운 룸, 포이즌 룸, 일루전 룸, 크러쉬 룸을 거치며이것이 평범한 게임이 아니란 걸 알게 되는데…"
37,드래곤 길들이기 3,9,액션,"영원한 친구 히컵과 투슬리스의 활약으로사람과 드래곤이 공존하며 평화롭게 살아가는 버크섬.새로운 드래곤 ‘라이트 퓨어리’를 쫓아간 투슬리스를 찾다가히컵은 누구도 찾지 못했던 드래곤의 파라다이스 ‘히든월드’를 우연히 발견하게 된다.하지만 평화도 잠시, 역대 최악의 드래곤 헌터 그리멜의 등장으로드래곤들의 안전과 버크섬의 평화까지 위협받기 시작하는데…"
38,가버나움,9,드라마,"나를 세상에 태어나게 한 ""부모님을 고소하고 싶어요...""-출생기록조차 없이 살아온 어쩌면 12살 소년 '자인'으로부터"
39,더 넌,6,공포/스릴러,루마니아의 젊은 수녀가 자살하는 사건을 의뢰 받아 바티칸에서 파견된 버크 신부와 아이린 수녀가 수녀원을 조사하면서 충격적인 악령의 실체와 만나게 되는 이야기를 그린다.
40,루비 스팍스,7,코미디,"꿈 속에서 만난 이상형 루비를 주인공으로로맨틱한 소설을 쓰며 상상 연애 중인 천재작가 캘빈.어느 날, 그에게 너무 사랑스러운 그녀루비가 소설을 찢고 눈 앞에 나타났다!널 사랑해도 될까?캘빈이 상상하고 쓰는 대로 변신하는 루비.완벽한 그녀와 현실 연애를 시작한 캘빈은진짜 사랑에 빠질수록 점점 혼란스러워지는데...우리, 마법일까? 사랑일까?사랑하고 싶은 당신을 위해 나타난 제작진의 러브픽션"
41,원더,9,드라마,"누구보다 위트 있고 호기심 많은 매력 부자 ‘어기'(제이콥 트렘블레이).하지만 남들과 다른 외모로 태어난 ‘어기'는 모두가 좋아하는 크리스마스 대신 얼굴을 감출 수 있는 할로윈을 더 좋아한다.10살이 된 아들에게 더 큰 세상을 보여주고 싶었던 엄마 ‘이사벨’(줄리아 로버츠)과 아빠 ‘네이트’(오웬 윌슨)는 ‘어기'를 학교에 보낼 준비를 하고, 동생에게 모든 것을 양보해왔지만 누구보다 그를 사랑하는 누나 ‘비아'도 ‘어기'의 첫걸음을 응원해준다.그렇게 가족이 세상의 전부였던 ‘어기'는 처음으로 헬멧을 벗고 낯선 세상에 용감하게 첫발을 내딛지만 첫날부터 ‘남다른 외모'로 화제의 주인공이 되고, 사람들의 시선에 큰 상처를 받는다.그러나 ‘어기'는 27번의 성형(?)수술을 견뎌낸 긍정적인 성격으로 다시 한번 용기를 내고, 주변 사람들도 하나둘 변하기 시작하는데..."
42,토르: 라그나로크,8,액션,"죽음의 여신 ‘헬라’가 아스가르드를 침략하고,세상은 모든 것의 종말 ‘라그나로크’의 위기에 처한다.헬라에게 자신의 망치마저 파괴당한 토르는 어벤져스 동료인 헐크와도 피할 수 없는 대결을벌이면서 절체절명의 위기에 빠지게 되는데…"
43,분노의 질주: 더 익스트림,8,액션,"마침내 평화로운 일상으로 돌아온 리더 ‘도미닉’(빈 디젤)과 멤버들.그러던 어느 날, 멤버들은 도미닉이 첨단 테러 조직의 리더 ‘사이퍼’(샤를리즈 테론)와 함께 사상 최악의 테러를 계획하고 있음을 알게 된다.리더의 배신으로 위기에 놓인 멤버들은 한때 팀을 모두 전멸시키려 했던 ‘데카드 쇼’(제이슨 스타뎀)까지 영입해최악의 적이 되어버린 도미닉과의 피할 수 없는 대결을 앞두게 되는데…"
44,스누피:더 피너츠 무비,7,액션,"실패투성이 소년 찰리 브라운과 최고의 친구 스누피!“네가 있어 참 다행이야” 수줍음 많고 매사에 용기 없는 소년 ‘찰리 브라운’은빨간 머리 소녀가 전학 오던 날, 그녀에게 첫 눈에 반하고 만다.  하지만 절친 스누피의 노력과는 달리 찰리는 자신의 마음을 고백할 기회를 번번이 놓치고 만다. “이번엔 꼭 달라질 거야! 나를 바꿔서 최고가 되겠어!”한편 연말 댄스파티 소식이 전해지자참견 잘하는 루시, 담요를 꼭 갖고 다니는 라이너스, 우등생 마시, 찰리의 동생 샐리 등여러 친구들과 빨간 머리 소녀까지 각자 춤 솜씨를 뽐낼 기회를 갖게 된다.                  찰리 브라운도 어렵게 용기를 내어 자신을 바꾸기로 하고유명인사가 되는 기회까지 얻게 되는데… 과연 찰리 브라운은 용기를 얻고 그녀와 첫 사랑을 이룰 수 있을까?2015년 12월 24일, 큰 꿈은 이루어진다!"
45,헝거게임 : 더 파이널,7,액션,"두 번의 헝거게임에서 살아남은 생존자 캣니스 에버딘. 그런 그녀를 향한 스노우 대통령의 공격은 더욱 거세지고 캣니스의 분노는 폭발한다.캣니스는 그를 멈추고 모든 것을 끝낼 수 있는 사람이 바로 자신임을 깨닫고, 13구역 군단에 합류한다. 철저하게 준비를 끝낸 캣니스와 최정예 요원들은 캐피톨 입성에 성공하지만 스노우 대통령이 설치한 함정들로 인해 목숨을 위협받는 위험한 상황에 처하게 된다.희생된 동료들을 뒤로한 채 가까스로 스노우 대통령과의 대결을 앞둔 캣니스에게 또 다른 충격적인 사건이 벌어지는데…마침내 최후의 승자가 결정된다!"
46,바람의 검심 : 전설의 최후편,8,액션,"세상을 뒤흔들 반란을 계획하고 있는 절대악 시시오와 그의 부하 십본도를 저지하기 위해 교토까지 온 히무라 켄신 (사토 타케루). 한때 켄신의 자리를 이어받아 유신지사로 활동했던 시시오가 정부에 배신당하고 반란을 일으킨 것이다. 시시오 일당에 맞서던 켄신은 십본도의 세타 소지로 (카미키 류노스케)에 의해 역날검이 반토막이 나게 되고, 나라와 자신의 곁을 지키는 사람들이 절체절명의 위험에 빠지고 심지어 유일한 무기였던 역날검마저 쓸 수 없게 되면서 최대의 궁지에 몰리게 된다. 불살을 맹세했던 켄신은 부러진 역날검을 들고 최강의 절대악인 시시오와 맞서 일생일대의 마지막 결전을 앞두게 되는데.."
48,분노의 질주: 더 맥시멈,8,액션,"억만 불이 걸린 한 탕에 성공한 후, 정부의 추적을 피해 전세계를 떠돌던 도미닉(빈 디젤)과 브라이언(폴 워커).1급 수배자가 되어 고향으로 돌아갈 수 없게 된 그들 앞에 타고난 본능의 베테랑 정부 요원 홉스(드웨인 존슨)가찾아온다. 전세계에 걸쳐 군 호송 차량을 습격하며 범죄를 일삼고 있는 레이싱팀 소탕 작전의 도움을 청하기 위한 것. 죽은 줄로만 알았던 자신의 연인 레티(미셀 로드리게즈)가 거대 범죄조직의 일원이라는 충격적 사실에 도미닉은 브라이언을 비롯한 최고 정예 멤버들을 소집한다. 단 조건은 멤버들의 전과를 사면해주는 것. 그리고, 마침내 거침없는 액션 본능과 환상의 드라이빙 실력의 특급 멤버들이 모두 모이고, 최강의 적에 맞선 사상 최대의 프로젝트가 시작되는데"
49,울지마 톤즈,9,다큐멘터리,"2010년 2월, 아프리카 수단 남쪽의 작은 마을 톤즈. 남 수단의 자랑인 톤즈 브라스 밴드가 마을을 행진했다. 선두에선 소년들은 한 남자의 사진을 들고 있고 있었다. 환하게 웃고 있는 사진 속 한 남자… 마을 사람들은 톤즈의 아버지였던 그의 죽음이 믿기지 않는다며 눈물을 흘렸다. 그들은 세계에서 가장 키가 큰 딩카족이다. 남과 북으로 나뉜 수단의 오랜 내전 속에서 그들의 삶은 분노와 증오 그리고 가난과 질병으로 얼룩졌다. 목숨을 걸고 가족과 소를 지키기 위해 싸우는 딩카족. 강인함과 용맹함의 상징인 종족 딩카족에게 눈물은 가장 큰 수치다. 무슨 일이 있어도 눈물을 보이지 않던 그들이 울고 말았다. 모든 것이 메마른 땅 톤즈에서 눈물의 배웅을 받으며 이 세상 마지막 길을 떠난 사람, 마흔 여덟의 나이로 짧은 생을 마감한 故 이태석 신부다. 톤즈의 아버지이자, 의사였고, 선생님, 지휘자, 건축가였던 쫄리 신부님, 이태석… 자신의 모든 것을 바쳐 온몸 다해 그들을 사랑했던 헌신적인 그의 삶이 스크린에서 펼쳐진다."
50,500일의 썸머,8,코미디,운명적 사랑을 믿는 남자 ‘톰’모든 것이 특별한 여자 ‘썸머’에 완전히 빠졌다.사랑은 환상일 뿐이라고 생각하는 여자 ‘썸머’친구인 듯 연인 같은 ‘톰’과의 부담 없는 썸이 즐겁다.“저기… 우리는 무슨 관계야?”설렘으로 가득한 시간도 잠시두 사람에게도 피할 수 없는 선택의 순간이 찾아오는데…“우리 모두의 단짠단짠 연애담!”설레는 1일부터 씁쓸한 500일까지서로 다른 남녀의 극사실주의 하트시그널!
51,해리 포터와 혼혈 왕자,6,액션,"어둠의 세력이 더욱 강력해져 머글 세계와 호그와트까지 위협해온다. 위험한 기운을 감지한 덤블도어 교수는 다가올 전투에 대비하기 위해 해리 포터와 함께 대장정의 길을 나선다. 볼드모트를 물리칠 수 있는 유일한 단서이자 그의 영혼을 나누어 놓은 7개의 호크룩스를 파괴하는 미션을 수행해야만 하는 것! 또한 덤블도어 교수는 호크룩스를 찾는 기억여행에 결정적 도움을 줄 슬러그혼 교수를 호그와트로 초청한다. 한편 학교에서는 계속된 수업과 함께 로맨스의 기운도 무르익는다. 해리는 자신도 모르게 지니에게 점점 끌리게 되고, 새로운 여자 친구가 생긴 론에게 헤르미온느는 묘한 질투심을 느끼는데... 남겨진 결전을 위한 최후의 미션, 볼드모트와 해리 포터에 얽힌 치명적인 비밀, 선택된 자만이 통과할 수 있는 대단원을 향한 본격적인 대결이 시작된다!"
52,벤자민 버튼의 시간은 거꾸로 간다,8,드라마,1918년 제1차 세계 대전 말 뉴올리언즈.80세의 외모를 가진 사내 아이가 태어난다.그의 이름은 벤자민 버튼.부모에게 버려져 양로원에서 노인들과 함께 지내던 그는시간이 지날수록 젊어진다는 것을 알게 된다.12살이 되어 60대의 외모를 가지게 된 그는어느 날 6살 소녀 데이지를 만난 후그녀의 푸른 눈동자를 잊지 못하게 된다.청년이 되어 세상으로 나간 벤자민은숙녀가 된 데이지와 만나 만남과 헤어짐을 반복하다비로소 둘은 사랑에 빠지게 된다.하지만 벤자민은 날마다 젊어지고데이지는 점점 늙어가는데…
53,이프 온리,9,코미디,"눈앞에서 사랑하는 연인을 잃은 남자는 다음 날 아침, 자신의 옆에서 자고 있는 연인을 보고 소스라치게 놀란다. 기쁨도 잠시, 정해진 운명은 바꿀 수 없단 것을 깨달은 그는 더 늦기 전에 자신의 진정한 사랑을 전하기로 마음먹는데…네가 아니었다면 난 영영 사랑을 몰랐을 거야사랑하는 법을 알게 해줘서 고마워, 사랑받는 법도."
54,패왕별희 디 오리지널,9,드라마,"어렸을 때부터 함께 경극을 해온 ‘두지’(장국영)와 ‘시투’(장풍의). 세상에 둘도 없는 절친한 아우와 형이지만, ‘두지’는 남몰래 ‘시투’에 대한 마음을 품고 있다.하지만 ‘시투’는 여인 ‘주샨’(공리)에 마음을 빼앗기고, 그로 인해 ‘두지’는 감정의 소용돌이에 빠지게 되는데…사랑과 운명, 아름다움을 뒤바꾼 화려한 막이 열린다!"
55,영웅본색,9,액션,"한때 암흑가를 주름잡는 보스였으나 손 씻고 새 삶을 시작한 자호(적룡), 경찰의 길을 걷는 자호의 동생 아걸(장국영), 자호와 함께 암흑가의 화려한 나날을 보냈으나 몰락한 채, 때를 기다리며 과거의 영광을 되찾고자 하는 소마(주윤발). 세 남자의 뜨거운 이야기가 디지털 리마스터링으로 다시 찾아온다! 2016년 2월, 레전드의 귀환!"
56,내생애최고의경기,9,드라마,1913년 US 오픈 당시 영국 챔피언 해리 바든을 꺾고 우승한 20세 프랜시스 위멧의 감동 실화를 그린 영화.
57,명탐정 코난 : 비색의 부재증명,0,애니메이션,아버지를 죽인 검은 조직에 대결하는 아카이 가문의 비밀을 파헤치는 코난 이야기를 다룬 애니메이션 영화
59,나의 히어로 아카데미아 더 무비: 히어로즈 라이징,0,애니메이션,초능력자들의 세계에서 개인들의 개성을 탈취하고 세계를 파괴하려는 빌런들과 이에 맞서는 히어로들 간의 대결을 다룬 애니메이션
60,실크 로드,8,액션,"개인이 마약을 하든 뭘 하든국가의 통제는 억압이라 생각하는 상위 1% 비합법적 천재 ‘로스’.뛰어난 두뇌와 치밀한 계획으로비트코인을 이용해 흔적 없이 마약 쿨거래가 가능한다크 웹사이트 ‘실크로드’를 만든다.‘실크로드’로 돈맛을 알고세상을 향한 X를 날렸다고 생각한 바로 그 순간,정체불명 누군가가 말을 걸어오는데…"
61,라이더스 오브 저스티스,7,액션,"가족과 떨어진 채 지내던 현직 군인 마르쿠스(매즈 미켈슨)는 열차 사고로 갑작스럽게 아내를 잃고 실의에 빠져있던 중, 아내의 죽음에 얽힌 사고가 계획된 범죄였음을 알게 된다. 분노가 폭발한 마르쿠스는 범인들을 뒤쫓아 목숨을 건 추격전을 시작하고 자신만의 잔혹한 정의로 그들을 심판하기로 하는데…"
62,애플,7,드라마,"원인 모를 단기 기억상실증 유행병에 걸린 ‘알리스’에게 유일하게 남은 기억은 이름도 집 주소도 아닌 한 입 베어 문 사과의 맛. 며칠이 지나도 그를 찾아오는 가족이 나타나지 않자 무연고 환자로 분류된 ‘알리스’에게 병원에서는 새로운 경험들로 기억을 만들어내는 ‘인생 배우기’ 프로그램을 제안한다. 그러던 어느 날 ‘알리스’는 자신처럼 이 프로그램에 참여하고 있는 ‘안나’를 만난다.괜찮아요, 다들 잊고 사니까요."
63,쇼크 웨이브 2,9,액션,"뛰어난 폭탄 제거 요원 ‘판청펑’(유덕화)은 현장에서 예기치 못한 사고로 왼쪽 다리를 잃는다. 이로 인한 좌천 통보에 분노한 ‘판청펑’은 폭탄 제거반 동료 ‘둥저원’(유청운)과 애인인 ‘팡링’(니니)에게 등을 돌리고 자취를 감춘다.5년 뒤, 홍콩의 한 호텔 행사장에서 폭탄 테러가 발생하고, 그곳에서 쓰러져 있는 그가 발견된다. 사고로 기억을 모두 잃은 채 깨어난 ‘판청펑’은 자신에게 극비 임무가 있었음을 알게 된다. 점점 세력이 커지는 테러 집단 ‘부활회’에 잠입해 그들의 계획을 알아내야 하는 것.마침내 그들의 목적을 알게 된 ‘판청펑’, 그리고 폭탄 제거반, 반테러리즘 특수부대 팀은 세계에서 가장 작은 핵폭탄으로, 홍콩국제공항뿐 아니라 국제상업센터, 국제금융센터, 주요 지하철 역까지 모조리 쓸어버릴 계획에 경악한다."
65,비와 당신의 이야기,6,드라마,"“이건 기다림에 관한 이야기다"" 뚜렷한 꿈도 목표도 없이 지루한 삼수 생활을 이어가던 ‘영호'(강하늘),오랫동안 간직해온 기억 속 친구를 떠올리고 무작정 편지를 보낸다. 자신의 꿈은 찾지 못한 채 엄마와 함께 오래된 책방을 운영하는 ‘소희'(천우희)는언니 ‘소연’에게 도착한 ‘영호'의 편지를 받게 된다. “몇 가지 규칙만 지켜줬으면 좋겠어.질문하지 않기, 만나자고 하기 없기 그리고 찾아오지 않기.” ‘소희'는 아픈 언니를 대신해 답장을 보내고 두 사람은 편지를 이어나간다.우연히 시작된 편지는 무채색이던 두 사람의 일상을 설렘과 기다림으로 물들이기 시작하고,‘영호'는 12월 31일 비가 오면 만나자는 가능성이 낮은 제안을 하게 되는데..."
66,내일의 기억,7,공포/스릴러,"사고로 기억을 잃은 채 깨어난 수진 옆엔자상한 남편 지훈이 그녀를 세심하게 돌봐주고 있다.그리고 집에 돌아온 후,마주친 이웃들의 위험한 미래가 보이기 시작하자 수진은 혼란에 빠진다.그러던 어느 날 길에서 만난 옛 직장 동료는수진을 걱정하며 지훈에 대한 믿기 힘든 소리를 하고,때마침 발견한 사진에서 사진 속 남편 자리엔 지훈이 아닌 다른 남자가 있다.설상가상 수진은 알 수 없는 남자가 자신을 위협하는 환영에 시달리는데……"
68,레 미제라블,7,드라마,"“세상에는 나쁜 풀도, 나쁜 사람도 없소.다만 나쁜 농부가 있을 뿐이오.” -  빅토르 위고지방에서 전근 온 경감 스테판은 크리스, 그와다와 같은 순찰팀에 배정받는다. 증오와 불신이 난무하는 몽페르메유에서 스테판은 경찰들의 폭력에 충격을 받고 서커스단 아기 사자 도난사건을 해결하려다 예기치 못한 사건까지 발생하는데…21세기의 ‘레 미제라블’, 끝나지 않은 분노의 노래!"
70,스파이의 아내,8,공포/스릴러,"아시아에 전운이 감돌던 1940년, 무역상 유사쿠는 사업차 만주국으로 향한다. 이곳에서 벌어지는 갖가지 참상을 목격한 유사쿠는 현실을 바꾸기 위해 직접 나서고, 유사쿠의 이러한 위험한 행동은 일본에 살고 있는 아내 사토코의 일상에도 영향을 미친다. NHK TV 드라마를 영화로 다시 만든 작품으로 2020년 베니스영화제에서 감독상을 수상했다."
72,모리타니안,8,드라마,"변호사 ‘낸시’(조디 포스터)는 모두가 꺼리는 한 남자의 변호를 맡게 된다.그는 9.11 테러의 핵심 용의자로 지목되어 기소는 물론, 재판도 없이6년 동안 수용소에 수감되어 있는 ‘슬라히’(타하르 라힘)냉정하고 완고하기로 소문난 군검찰관 ‘카우치’(베네딕트 컴버배치)는강력한 증거들을 내밀며 그의 유죄를 확신하고그의 무죄를 주장하는 ‘낸시’와 동료 ‘테리’(쉐일린 우들리)는국가 기밀이란 이유로 은폐된 진실 앞에서 번번이 좌절하는데..."
73,만델라 이펙트,9,SF/판타지,"해변에서 휴가를 보내던 중,‘브렌던’의 사랑하는 딸 ‘샘’이 파도에 휩쓸려 실종된다.장례까지 치렀지만 그는 딸의 죽음을 받아들이지 못한다.우연히 알게 된 ‘만델라 이펙트’를 통해‘브랜던’은 딸이 죽은 것이 아니라또 다른 차원으로 이동한 것이라는 확신을 얻게 되고점점 더 깊이 그 이론에 빠져들게 된다.시뮬레이션 이론의 권위자 ‘훅스’ 박사로부터차원 이동에 대한 방법을 전해 들은 그는딸을 찾기 위해 새로운 차원의 설계를 시도하게 되는데…"
75,퍼펙트 케어,7,액션,"은퇴자들의 건강과 재산을 관리하는 CEO 말라,알고 보면 일사불란한 한탕 털이 기업이다.사람을 요양원으로집과 가구는 경매로모든 것을 탈탈 터는 게 그들의 주업.법꾸라지 그들은 치밀한 계획 하에법의 테두리에서 한치도 벗어나지 않는다.이렇게 완벽한 말라의 케어 비즈니스에순진한 양 같은 다음 타겟이 잡히고더욱 더 완벽한 케어 서비스를 계획하기 시작하는데.."
76,몬스터 헌터,5,액션,UN합동 보안 작전부 아르테미스 대위(밀라 요보비치)는 행방불명된 팀원들을 찾기 위해 나서지만 실종된 그들과 같은 이상 현상으로 거대 몬스터의 세계로 빠진다. 하지만 눈앞에 닥친 강력한 몬스터들의 습격으로 유일한 생존자가 된 그녀는 몬스터 헌터(토니 자)와 마주하게 되는데… 다시 인류의 세계로 돌아갈 수 있는 방법은 단 하나. 몬스터와 맞서 반드시 살아남아야 한다!
77,어니스트 씨프,7,액션,희대의 폭파 전문 은행털이범 ‘톰’.어떠한 증거도 남기지 않는 뛰어난 범행으로8년간 FBI의 추적을 따돌린 그는새로운 인생을 시작하기 위해자수를 결심한다.그러나 돈을 노리는 부패한 FBI의 음모와 가공할 위협이 그를 기다리고 있는데…
78,명탐정 코난: 진홍의 수학여행,7,애니메이션,"초등학생 코난이 아닌, 본래의 모습으로 교토 수학여행에 참가하게 된 고등학생 탐정 쿠도 신이치.평범한 고등학생처럼 모리 란과 행복한 시간을 보내는 것도 잠시,우연히 만난 배우 구라치 케이코의 부탁으로 의문의 암호 해독을 부탁받는다.하지만 곧이어 그녀의 영화 제작 동료들을 둘러싼 연쇄 살인 사건이 일어난다.범죄의 현장에는 요괴의 행적처럼 꾸며진피 묻은 발자국과 팔손이 나뭇잎, 그리고 새로운 암호가 남겨져 있었는데…천년 역사의 도시 교토, 요괴의 소행 같은 기묘한 연쇄 살인 사건의 진실은?!그리고 쿠도 신이치♥모리 란, 두 사람의 마음은 맞닿을 수 있을까?"
81,요요현상,9,다큐멘터리,"취미도 요요, 특기도 요요!요요로 한국을 주름잡던 다섯 명의 ‘요요소년’ 대열, 동훈, 현웅, 동건, 종기.요요를 잘하면 자랑이 되었던 어린 시절을 지나20대 후반이 된 그들에게 세상은 (살길을 찾는) ‘어른’이 되길 요구한다.2011년 여름, 다섯 사람은 대학 졸업을 앞두고마지막으로 자신들이 꿈꿔온 무대에 도전하고 요요를 그만두기로 결심하는데…요요길만 걷고 싶은 요요덕후들의 꿈과 현실에 대한 이야기!요요, 마음 편히 그만둘 수 있을까?어디로 향하든 다시 돌아오게 돼 있어!꿈과 현실의 무한루프 "
82,머리카락,8,다큐멘터리,"조선시대에 칠흙같이 검고 풍성한 머리카락은 미인의 필수조건,반면 짧고 뻣뻣한 여성의 머리카락은 부정적이고 추함으로 묘사된다.1920년 신여성은 모단(毛斷)걸로 불리었다. 단발은 여성에게 기성체제를 향한 도전이었다.2020년 지금도, 여성들은 머리카락을 자른다. ‘여성스럽다’라는 사회적 정의를 거부하는 움직임, 바로 탈코르셋 운동이다.타인의 시선으로부터 자유로울 권리를 되찾고 자신을 있는 그대로 바라보기 위해 노력한다.세상에는 다양한 여성들이 있다고 목소리를 내며 해방과 연대의 역사를 써내려가는 그들을 만나본다."
